ID,EN-US,ES-ES
86,"HYMN TO CHARITY","HIMNO A LA CARIDAD"
87,"CHRIST JESUS IS THE LORD - HYMN TO THE KENOSIS","HIMNO A LA KENOSIS"
88,"HYMN OF ADVENT","HIMNO DE ADVIENTO"
89,"HYMN OF VESPERS ON THE DAY OF ASCENSION - HYMN OF LAUDS FROM ASCENSION TILL PENTECOST","HIMNO DE LA ASCENSIÓN"
90,"HYMN OF PASSOVER","HIMNO DE PASCUA"
91,"YOU WHO DWELL IN THE GARDENS","HUYE, AMADO MÍO"
92,"GO AND ANNOUNCE TO MY BROTHERS","ID Y ANUNCIAD A MIS HERMANOS"
93,"LAMENTATION OF THE LORD","IMPROPERIOS"
94,"CANTICLE OF TOBIT: BLESS MY SOUL THE LORD","JERUSALÉN RECONSTRUIDA"
95,"JESUS WENT THROUGH ALL THE TOWNS","JESÚS RECORRÍA TODAS LAS CIUDADES"
96,"SHE-LAMB OF GOD","LA CORDERA DE DIOS"
97,"","LA ESPADA"
98,"THE MARCH IS HARD","LA MARCHA ES DURA"
99,"","LA SALVE"
100,"SONG OF THE HARVESTERS","LA SIEGA DE LAS NACIONES"
101,"THE VOICE OF MY BELOVED","LA VOZ DE MI AMADO"
102,"THE ARMOR OF GOD","LAS ARMAS DE LA LUZ"
103,"","LAUDA SION"
104,"",""
105,"I LIFT UP MY EYES TO THE MOUNTAINS","LEVANTO MIS OJOS A LOS MONTES"
106,"LORD, LORD JESUS","LLEGUE HASTA TU PRESENCIA MI CLAMOR"
107,"TAKE ME TO HEAVEN","LLÉVAME AL CIELO"
108,"MAGNIFICAT","MAGNÍFICAT"
109,"MARY, HOUSE OF BENEDICTION","MARÍA, CASA DE BENDICIÓN"
110,"MARIA DI JASNA GORA","MARÍA DE JASNA GÓRA"
111,"MARY, MOTHER OF THE CHURCH","MARÍA, MADRE DE LA IGLESIA"
112,"MARY, MOTHER OF THE BURNING WAY","MARÍA, MADRE DEL CAMINO ARDIENTE"
113,"MARY, LITTLE MARY","MARÍA, PEQUEÑA MARÍA"
114,"YOU WILL SHOW ME THE PATH OF LIFE","ME ENSEÑARÁS EL CAMINO DE LA VIDA"
115,"YOU HAVE SEDUCED ME, O LORD","ME HAS SEDUCIDO, SEÑOR"
116,"LOOK HOW IT IS GOOD","MIRAD QUÉ ESTUPENDO"
117,"HAVE MERCY ON ME, GOD, IN YOUR KINDNESS","MISERICORDIA, DIOS MÍO"
118,"MISERERE","MISERICORDIA MÍA, MISERICORDIA"
119,"MUCH HAVE THEY PERSECUTED ME","MUCHO ME HAN PERSEGUIDO"
120,"HE IS NOT HERE, HE IS RISEN","NO ESTÁ AQUÍ, RESUCITÓ"
121,"IN HIM THERE IS NO BEAUTY","NO HAY EN ÉL PARECER"
122,"NOLI ME TANGERE","NOLI ME TANGERE"
123,"O HEAVENS, RAIN FROM ABOVE","OH CIELOS, LLOVED DE LO ALTO"
124,"O GOD, BY YOUR NAME SAVE ME","OH DIOS, POR TU NOMBRE SÁLVAME"
125,"O GOD, YOU ARE MY GOD","OH DIOS, TÚ ERES MI DIOS"
126,"O JESUS, MY LOVE","OH JESÚS, AMOR MÍO"
127,"DEATH IS SWALLOWED UP IN VICTORY","OH MUERTE, ¿DÓNDE ESTÁ TU VICTORIA?"
128,"O LORD, OUR GOD","OH SEÑOR, NUESTRO DIOS"
129,"I WILL TAKE YOU FROM THE PEOPLES","OS TOMARÉ DE ENTRE LAS NACIONES"
130,"HAIL, O MARY, UNCORRUPT DOVE","PALOMA INCORRUPTA"
131,"PENTECOST","PENTECOSTÉS"
132,"BECAUSE OF MY BROTHERS AND FRIENDS","POR EL AMOR DE MIS AMIGOS -"
133,"SONG OF THE CHILDREN IN THE EASTER VIGIL","POR QUÉ ESTA NOCHE ES DIFERENTE"
134,"WHY DO THE NATIONS CONSPIRE?","POR QUÉ LAS GENTES CONJURAN"
135,"COME TO ME ALL OF YOU","PORQUE MI YUGO ES SUAVE"
136,"HOW LOVELY ARE YOUR DWELLING PLACES","QUÉ AMABLES SON TUS MORADAS"
137,"","QUÉ ESTUPENDO, QUÉ ALEGRÍA"
138,"WHO IS SHE","QUIÉN ES ESTA QUE SUBE DEL DESIERTO"
139,"WHO WILL SEPARATE US","QUIÉN NOS SEPARARÁ"
140,"I WANT TO GO TO JERUSALEM","QUIERO ANDAR, MADRE, A JERUSALÉN"
141,"I WANT TO SING","QUIERO CANTAR"
142,"HE ROSE FROM DEATH","RESUCITÓ"
143,"RESURREXIT","RESURREXIT"
144,"HAIL QUEEN OF HEAVENS","SALVE, REINA DE LOS CIELOS"
145,"THERE WERE TWO ANGELS","SE ENCONTRARON DOS ÁNGELES"
146,"O LORD, HELP ME, LORD","SEÑOR, AYÚDAME A NO DUDAR DE TI"
147,"O LORD, DO NOT PUNISH ME IN YOUR ANGER","SEÑOR, NO ME CORRIJAS EN TU CÓLERA"
148,"THE SERMON ON THE MOUNTAIN","SERMÓN DE LA MONTAÑA"
149,"SHLOM LEKH MARIAM","SHLOM LEJ MARIAM"
150,"IF THE LORD DOES NOT BUILD THE HOUSE","SI EL SEÑOR NO CONSTRUYE LA CASA"
151,"IF YOU ARE RISEN WITH CHRIST","SI HABÉIS RESUCITADO CON CRISTO"
152,"IF TODAY YOU LISTEN TO HIS VOICE","SI HOY ESCUCHÁIS SU VOZ"
153,"IF IN THE LORD I HAVE TAKEN REFUGE","SI ME HE REFUGIADO EN EL SEÑOR"
154,"MOTHER, MOTHER CITY OF GOD","SIÓN, MADRE DE TODOS LOS PUEBLOS"
155,"LONE TO ALONE","SOLA A SOLO"
156,"STABAT MATER","STABAT MATER DOLOROSA"
157,"GOD GOES UP WITH ACCLAMATIONS","SUBE DIOS ENTRE ACLAMACIONES"
158,"I CALL UPON YOU","TE ESTOY LLAMANDO, SEÑOR"
