title,psalm_subtitle,psalm_id,psalm_step,psalm_tags,psalm_capo
"A GRANDIOSE SIGN","Revelations 12","134","pre","fin|vir","0"
"BROTHERS","2 Corinthians 6,3ff","2","ele","pax","2"
