title,psalm_subtitle,psalm_id,psalm_page,psalm_step,psalm_tags,psalm_capo,psalm_audio,psalm_html,psalm_text
"COME, SON OF MAN","","168","53-2","pre","","0","https://aleyoscar.com/audio/en-us/come-son-of-man.mp3","<div class='column'></div>","man come of son"
"COME TO ME ALL OF YOU","","135","95","pre","","0","https://aleyoscar.com/audio/en-us/come-to-me-all-of-you.mp3","<div class='column'></div>","of to all you come me"
"CONSOLE MY PEOPLE","","41","92-1","pre","","0","https://aleyoscar.com/audio/en-us/console-my-people.mp3","<div class='column'></div>","my console people"
"CREED","","187","29","lit","hym","0","https://aleyoscar.com/audio/en-us/creed.mp3","<div class='column'></div>","creed"
"DAUGHTERS OF JERUSALEM","","84","100","pre","","0","https://aleyoscar.com/audio/en-us/daughters-of-jerusalem.mp3","<div class='column'></div>","jerusalem of daughters"
"DAY OF REST","","50","92-2","pre","heb","0","https://aleyoscar.com/audio/en-us/day-of-rest.mp3","<div class='column'></div>","rest day of"
"DAYENU","","45","68","pre","heb","0","https://aleyoscar.com/audio/en-us/dayenu.mp3","<div class='column'></div>","dayenu"
"DE PROFUNDIS","","47","33","pre","","0","https://aleyoscar.com/audio/en-us/de-profundis.mp3","<div class='column'></div>","de profundis"
"DEATH IS SWALLOWED UP IN VICTORY","","127","50","pre","","0","https://aleyoscar.com/audio/en-us/death-is-swallowed-up-in-victory.mp3","<div class='column'></div>","victory up in swallowed is death"
"DO NOT GET ANGRY BECAUSE OF THE WICKED","","231","261","ele","","0","https://aleyoscar.com/audio/en-us/do-not-get-angry-because-of-the-wicked.mp3","<div class='column'></div>","of get wicked do because the not angry"
"DO NOT RESIST EVIL","","230","266","ele","","0","https://aleyoscar.com/audio/en-us/do-not-resist-evil.mp3","<div class='column'></div>","do not resist evil"
"DOXOLOGY","","251","23","lit","ord","0","https://aleyoscar.com/audio/en-us/doxology.mp3","<div class='column'></div>","doxology"
"EASTER ALLELUIA","","181","26-1","lit","pas","0","https://aleyoscar.com/audio/en-us/easter-alleluia.mp3","<div class='column'></div>","alleluia easter"
"ELI, ELI, LAMA SABACTANI?","","63","214","cat","","0","https://aleyoscar.com/audio/en-us/eli-eli-lama-sabactani.mp3","<div class='column'></div>","sabactani eli lama"
"EUCHARISTIC PRAYER II - 1 PREFACE","","194","8","lit","ord","0","https://aleyoscar.com/audio/en-us/eucharistic-prayer-ii-1-preface.mp3","<div class='column'></div>","eucharistic 1 preface prayer ii"
"EUCHARISTIC PRAYER II - 2 CONSECRATION AND ACCLAMATION","","252","22","lit","ord","0","https://aleyoscar.com/audio/en-us/eucharistic-prayer-ii-2-consecration-and-acclamation.mp3","<div class='column'></div>","eucharistic consecration acclamation and prayer ii 2"
"EUCHARISTIC PRAYER II - 2 PREFACE","","197","21","lit","ord","0","https://aleyoscar.com/audio/en-us/eucharistic-prayer-ii-2-preface.mp3","<div class='column'></div>","eucharistic preface prayer ii 2"
"EVENU SHALOM ALEHEM","","73","44-2","pre","heb","0","https://aleyoscar.com/audio/en-us/evenu-shalom-alehem.mp3","<div class='column'></div>","shalom evenu alehem"
"EXULT, YOU JUST IN THE LORD","","75","126","pre","","0","https://aleyoscar.com/audio/en-us/exult-you-just-in-the-lord.mp3","<div class='column'></div>","exult just you lord the in"
"EXULTET","","206","12","lit","pas","0","https://aleyoscar.com/audio/en-us/exultet.mp3","<div class='column'></div>","exultet"
"FIRST SONG OF THE SERVANT OF YAHWEH","","81","138","pre","","0","https://aleyoscar.com/audio/en-us/first-song-of-the-servant-of-yahweh.mp3","<div class='column'></div>","of yahweh song the servant first"
"FROM A HYMN OF ROMAN THE MELODIST","","40","147","pre","pan","0","https://aleyoscar.com/audio/en-us/from-a-hymn-of-roman-the-melodist.mp3","<div class='column'></div>","a from roman of the hymn melodist"
"GATES LIFT UP YOUR HEADS","","16","58","pre","","0","https://aleyoscar.com/audio/en-us/gates-lift-up-your-heads.mp3","<div class='column'></div>","lift gates your up heads"
"GIVE THANKS TO THE LORD","","77","39","pre","","0","https://aleyoscar.com/audio/en-us/give-thanks-to-the-lord.mp3","<div class='column'></div>","thanks give to lord the"
"GLORY, GLORY, GLORY","","177","125","pre","","0","https://aleyoscar.com/audio/en-us/glory-glory-glory.mp3","<div class='column'></div>","glory"
"GLORY TO GOD","","188","4","lit","ord","0","https://aleyoscar.com/audio/en-us/glory-to-god.mp3","<div class='column'></div>","to god glory"
"GO AND ANNOUNCE TO MY BROTHERS","","92","131","pre","","0","https://aleyoscar.com/audio/en-us/go-and-announce-to-my-brothers.mp3","<div class='column'></div>","my brothers to go announce and"
"GOD GOES UP WITH ACCLAMATIONS","","157","85-2","pre","","0","https://aleyoscar.com/audio/en-us/god-goes-up-with-acclamations.mp3","<div class='column'></div>","acclamations up god with goes"
"GRACE BEFORE MEALS","","250","27-1","lit","var","0","https://aleyoscar.com/audio/en-us/grace-before-meals.mp3","<div class='column'></div>","before meals grace"
"HAIL MARY - 1984","","22","64-2","pre","hym|vir","0","https://aleyoscar.com/audio/en-us/hail-mary-1984.mp3","<div class='column'></div>","mary 1984 hail"
"HAIL MARY","","21","64-1","pre","hym|vir","0","https://aleyoscar.com/audio/en-us/hail-mary.mp3","<div class='column'></div>","mary hail"
"HAIL, O MARY, UNCORRUPT DOVE","","130","143","pre","vir","0","https://aleyoscar.com/audio/en-us/hail-o-mary-uncorrupt-dove.mp3","<div class='column'></div>","dove mary o uncorrupt hail"
"HAIL QUEEN OF HEAVENS","","144","106-2","pre","hym|vir","0","https://aleyoscar.com/audio/en-us/hail-queen-of-heavens.mp3","<div class='column'></div>","queen heavens of hail"
"HAPPINESS FOR THE MAN","","76","114","pre","","0","https://aleyoscar.com/audio/en-us/happiness-for-the-man.mp3","<div class='column'></div>","man for happiness the"
"HAPPY THE MAN","","52","112","pre","","0","https://aleyoscar.com/audio/en-us/happy-the-man.mp3","<div class='column'></div>","man the happy"
"HAVE MERCY ON ME, GOD, IN YOUR KINDNESS","","117","61","pre","","0","https://aleyoscar.com/audio/en-us/have-mercy-on-me-god-in-your-kindness.mp3","<div class='column'></div>","your god have on kindness me mercy in"
"HE IS NOT HERE, HE IS RISEN","","120","137","pre","","0","https://aleyoscar.com/audio/en-us/he-is-not-here-he-is-risen.mp3","<div class='column'></div>","here risen is not he"
"HE ROSE FROM DEATH","","142","31","pre","","0","https://aleyoscar.com/audio/en-us/he-rose-from-death.mp3","<div class='column'></div>","rose from death he"
"HERE COMES THE LORD WITH MAJESTY ENROBED","","170","91","pre","var","0","https://aleyoscar.com/audio/en-us/here-comes-the-lord-with-majesty-enrobed.mp3","<div class='column'></div>","enrobed here lord the with comes majesty"
"HE'S COMING MY GOD","","174","71-2","pre","lib","0","https://aleyoscar.com/audio/en-us/hes-coming-my-god.mp3","<div class='column'></div>","coming god my hes"
"HOLY, HE'S HOLY - LENTEN SEASON","","215","5-1","lit","heb|ord","0","https://aleyoscar.com/audio/en-us/holy-hes-holy-lenten-season.mp3","<div class='column'></div>","season holy lenten hes"
"HOLY, HOLY, HOLY - 1983","","218","7-2","lit","ord","0","https://aleyoscar.com/audio/en-us/holy-holy-holy-1983.mp3","<div class='column'></div>","holy 1983"
"HOLY, HOLY, HOLY - ADVENT: HOLY OF THE SHANTY TOWN","","214","6-1","lit","ord","0","https://aleyoscar.com/audio/en-us/holy-holy-holy-advent-holy-of-the-shanty-town.mp3","<div class='column'></div>","of holy the town shanty advent"
"HOLY, HOLY, HOLY - EASTER: HOSANNA OF THE PALMS","","216","6-2","lit","pas|ord","0","https://aleyoscar.com/audio/en-us/holy-holy-holy-easter-hosanna-of-the-palms.mp3","<div class='column'></div>","of easter palms holy the hosanna"
"HOLY, HOLY, HOLY - ORDINARY TIME - 1988","","219","7-1","lit","ord","0","https://aleyoscar.com/audio/en-us/holy-holy-holy-ordinary-time-1988.mp3","<div class='column'></div>","1988 holy ordinary time"
"HOLY, HOLY, HOLY - ORDINARY TIME","","217","5-2","lit","ord","0","https://aleyoscar.com/audio/en-us/holy-holy-holy-ordinary-time.mp3","<div class='column'></div>","holy ordinary time"
"HOW GOOD IT IS","","38","37","pre","","0","https://aleyoscar.com/audio/en-us/how-good-it-is.mp3","<div class='column'></div>","how is it good"
"HOW LOVELY ARE YOUR DWELLING PLACES","","136","90","pre","","0","https://aleyoscar.com/audio/en-us/how-lovely-are-your-dwelling-places.mp3","<div class='column'></div>","your are how dwelling lovely places"
"HOW MUCH LONGER","","80","35-1","pre","","0","https://aleyoscar.com/audio/en-us/how-much-longer.mp3","<div class='column'></div>","how longer much"
"HYMN FOR LAUDS OF ADVENT AFTER DECEMBER 16","","253","15-2","lit","hym","0","https://aleyoscar.com/audio/en-us/hymn-for-lauds-of-advent-after-december-16.mp3","<div class='column'></div>","december for of 16 after hymn advent lauds"
"HYMN FOR LAUDS OF ADVENT UNTIL DECEMBER 16","","254","15-1","lit","hym","0","https://aleyoscar.com/audio/en-us/hymn-for-lauds-of-advent-until-december-16.mp3","<div class='column'></div>","december for of 16 until hymn advent lauds"
